                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.69182,                0.42249,                0.96011,                0.87146,                0.89403,                0.95209,                  0.799,                0.63118,                0.51781,                0.98036,               0.070041,              0.0033288,              0.0033288
                      1,                0.65275,                0.39406,                0.92525,                0.85901,                0.89008,                0.95352,                0.79559,                0.63592,                0.50996,                0.99866,               0.039975,              0.0065962,              0.0065962
                      2,                0.67147,                0.41687,                0.93325,                0.87471,                0.90699,                0.95072,                0.80484,                0.57308,                0.49861,                0.95832,              0.0098431,              0.0097975,              0.0097975
                      3,                0.65194,                0.40113,                0.92666,                0.90704,                0.88663,                0.95743,                0.79901,                0.58021,                 0.4932,                0.95541,               0.009703,               0.009703,               0.009703
                      4,                0.60579,                0.36671,                0.91436,                 0.8799,                 0.9275,                0.96324,                0.80536,                0.59156,                0.46592,                0.95598,               0.009703,               0.009703,               0.009703
                      5,                0.57318,                0.34188,                0.90306,                0.83574,                 0.9368,                0.94697,                0.80092,                0.52681,                0.54103,                0.93801,               0.009604,               0.009604,               0.009604
                      6,                0.55023,                0.32743,                0.89465,                0.92241,                0.89542,                 0.9647,                0.81142,                0.53182,                0.44358,                0.94815,               0.009505,               0.009505,               0.009505
                      7,                0.52391,                 0.3112,                 0.8879,                0.89404,                0.91564,                0.95922,                0.81821,                0.55177,                0.46658,                0.94458,               0.009406,               0.009406,               0.009406
                      8,                0.51107,                0.30106,                0.88018,                0.90113,                0.92378,                0.96874,                0.82499,                0.54234,                0.44826,                0.94381,               0.009307,               0.009307,               0.009307
                      9,                0.49019,                0.28988,                0.87413,                0.88674,                  0.946,                0.96303,                0.82315,                0.53905,                0.40344,                0.95284,               0.009208,               0.009208,               0.009208
                     10,                0.47966,                0.28214,                0.87237,                0.84135,                0.90114,                0.95728,                0.81812,                 0.5392,                0.47314,                0.95235,               0.009109,               0.009109,               0.009109
                     11,                0.46471,                0.27371,                0.86606,                0.87285,                0.91145,                0.96498,                0.82469,                0.53257,                 0.4698,                0.94674,                0.00901,                0.00901,                0.00901
                     12,                0.45308,                0.26712,                0.86248,                0.87891,                0.91886,                0.96538,                0.82362,                0.56215,                0.42036,                0.95829,               0.008911,               0.008911,               0.008911
                     13,                0.44176,                0.25975,                0.85876,                 0.8736,                0.92419,                0.96399,                0.82006,                0.54737,                0.45717,                0.95313,               0.008812,               0.008812,               0.008812
                     14,                0.43608,                 0.2583,                0.85534,                0.85495,                0.91051,                0.96027,                0.82758,                0.53828,                0.51354,                0.95091,               0.008713,               0.008713,               0.008713
                     15,                0.42335,                0.25083,                0.85261,                0.89548,                0.91538,                 0.9684,                0.82902,                0.55324,                0.48804,                0.95605,               0.008614,               0.008614,               0.008614
                     16,                 0.4133,                0.24545,                0.84881,                0.87171,                0.91261,                0.96352,                0.83007,                0.53955,                0.48652,                0.95508,               0.008515,               0.008515,               0.008515
                     17,                0.40657,                 0.2403,                0.84704,                0.86979,                0.94105,                0.96406,                0.82535,                0.53368,                0.44448,                0.95134,               0.008416,               0.008416,               0.008416
                     18,                0.40358,                0.23816,                0.84718,                0.86604,                0.94595,                0.96248,                0.83027,                0.52352,                0.42818,                0.95065,               0.008317,               0.008317,               0.008317
                     19,                0.39474,                0.23599,                0.84452,                0.86669,                0.93219,                0.96599,                0.82479,                0.55161,                0.48773,                0.95834,               0.008218,               0.008218,               0.008218
                     20,                0.39041,                0.23189,                0.84337,                0.86287,                0.94279,                0.95802,                0.82282,                0.52503,                0.41178,                0.95335,               0.008119,               0.008119,               0.008119
                     21,                0.38444,                0.23065,                0.84221,                0.86297,                0.93914,                0.96576,                0.83457,                0.52415,                0.45847,                0.95409,                0.00802,                0.00802,                0.00802
                     22,                0.37734,                0.22638,                0.83928,                0.85787,                0.94634,                0.96404,                0.82949,                0.53639,                 0.4508,                0.95697,               0.007921,               0.007921,               0.007921
                     23,                0.37218,                0.22183,                0.83718,                0.86147,                0.95633,                0.96001,                0.82879,                0.53555,                0.41835,                0.96305,               0.007822,               0.007822,               0.007822
                     24,                 0.3721,                0.22184,                0.83846,                0.87944,                 0.9391,                0.96917,                0.83306,                0.53867,                0.43861,                0.96161,               0.007723,               0.007723,               0.007723
                     25,                 0.3629,                0.21689,                0.83564,                0.86404,                 0.9442,                0.96789,                 0.8342,                0.53525,                0.43935,                0.95958,               0.007624,               0.007624,               0.007624
                     26,                0.35729,                0.21365,                0.83369,                0.89662,                0.96159,                0.97419,                0.83446,                0.53565,                0.39331,                0.96477,               0.007525,               0.007525,               0.007525
                     27,                0.35347,                0.21193,                0.83327,                0.89204,                0.94095,                0.97192,                0.83231,                0.54076,                 0.3969,                0.96712,               0.007426,               0.007426,               0.007426
                     28,                0.35171,                0.21087,                0.83163,                0.88534,                 0.9401,                0.96935,                0.83493,                 0.5381,                 0.4084,                 0.9623,               0.007327,               0.007327,               0.007327
                     29,                0.34686,                0.20855,                0.83037,                0.89179,                0.93853,                0.97085,                0.83483,                0.54762,                0.41823,                0.96893,               0.007228,               0.007228,               0.007228
